순위	단어	품사	풀이	등급
778	규모	명	規模	3
1552	규정04	명	規定	3
2127	규칙02	명	規則	2
4117	규칙적	명	規則的	2
1778	균형	명	均衡	3
10419	귤	명	橘	3
15	그01	대		1
9	그01	관		1
1164	그02	감		1
5726	그간	명	-間	3
139	그거	대		1
48	그것	대		1
860	그곳	대		1
2307	그나마	부		3
672	그날	명		1
303	그냥	부		2
69	그녀	대	-女	3
4183	그놈	대		3
2436	그늘	명		2
2852	그다음	명		2
2463	그다지	부		2
3852	그대	대		3
340	그대로	부		2
473	그동안	명		1
187	그때	명		1
6189	그때그때	부		3
330	그래01	감		1
1229	그래03	불	그리하여	1
692	그래도	불	그리하여도	2
134	그래서	부		1
9061	그래서	불	그리하여서	1
4586	그래야	불	그리하여야	3
8686	그래픽	명	gr1phi3	3
1553	그램	의	gr1m	2
34	그러나	부		1
785	그러니까	부		1
79	그러다	동		3
636	그러면	부		1
1127	그러므로	부		2
426	그러하다	형		2
54	그런01	관		2
4326	그런대로	부		3
142	그런데	부		1
5727	그럴듯하다	형		3
457	그럼01	부	'그러면'의 준말	1
2736	그럼02	감		1
그렇게	불	그러하게	2
38	그렇다	형		1
3393	그렇지	감		2
1120	그렇지만	부		1
2888	그려지다	동		2
6025	그루01	의		3
879	그룹01	명	group	2
1563	그릇01	명		1
1388	그리02	부	그러한 모양	2
52	그리고	부		1
439	그리다02	동	그림을 ~	1
9484	그리로	부		3
6752	그리움	명		3
7460	그리워하다	동		3
1183	그리하여	부		3
362	그림01	명		1
1504	그림자	명		2
3853	그립다	형		2
745	그만02	부	그 정도까지만	2
1866	그만두다	동		2
1532	그만큼	부		2
6550	그만하다	형		2
2706	그분	대		1
6754	그사이	명		3
2308	그야말로	부		3
2171	그이01	대		3
1197	그저	부		3
20155	그저께	명		3
6026	그전	명	-前	3
4261	그제서야	부		3
5866	그제야	부		3
1085	그중	명	-中	2
3027	그쪽	대		1
1150	그치다	동		2
3222	그토록	부		3
3794	그해	명		2
2352	극05	명	劇	3
4118	극복01	명	克服	3
1355	극복하다01	동	克服-	3
5728	극작가	명	劇作家	3
2331	극장	명	劇場	1
2991	극히	부	極-	3
1260	근거	명	根據	3
3912	근거하다	동	根據-	3
8687	근교	명	近郊	3
563	근데01	부	그런데	2
4871	근래	명	近來	3
3628	근로02	명	勤勞	3
1971	근로자	명	勤勞者	2
2707	근무	명	勤務	2
2761	근무하다	동	勤務-	2
2378	근본	명	根本	3
1587	근본적	명	根本的	3
2918	근원	명	根源	3
2648	근육	명	筋肉	3
1151	근처	명	近處	1
252	글	명		2
1972	글쎄01	감		2
4119	글쎄요	감		2
2403	글쓰기	명		2
3976	글씨	명		2
1564	글자	명	-字	2
4773	긁다	동		3
9942	금02	명	~을 긋다	3
5323	금06	명	金	2
금강산	고	金剛山	3
6029	금고02	명	金庫	3
3262	금년	명	今年	2
8018	금메달	명	金med1l	3
1597	금방01	부	今方	2
3571	금세01	부		3
3913	금액02	명	金額	3
5868	금연01	명	禁煙	2
7714	금요일	명	金曜日	1
2591	금지04	명	禁止	2
5586	금지되다	동	禁止-	3
4774	금지하다	동	禁止-	2
4976	금하다02	동	禁-	3
1289	급04	명	級	1
5324	급격히	부	急激-	3
5460	급속히	부	急速-	3
5461	급증하다	동	急增-	3
2437	급하다	형	急-	2
4676	급히	부	急-	3
3854	긋다01	동	금을 ~	3
2952	긍정적	명	肯定的	2
1607	기13	명	氣	3
5730	기23	명	旗	3
678	기간07	명	期間	2
910	기계07	명	機械	2
449	기관11	명	機關	3
3178	기구14	명	器具	3
1250	기구15	명	機構	3
3263	기기13	명	機器	3
4677	기념02	명	記念	3
26081	기념일	명	記念日	3
13162	기념품	명	記念品	3
6757	기념하다	동	記念-	3
5325	기능01	명	技能	3
531	기능03	명	機能	3
5085	기다01	동		3
298	기다리다	동		1
1442	기대03	명	期待	2
3680	기대다01	동	의지하다	3
4977	기대되다	동	期待-	3
1303	기대하다	동	期待-	2
6758	기도03	명	祈禱	2
5587	기도하다02	동	祈禱-	3
4328	기독교	명	基督敎	3
3855	기둥01	명		3
1094	기록02	명	記錄	3
4185	기록되다	동	記錄-	3
1261	기록하다	동	記錄-	2
882	기르다	동		2
1893	기름01	명		2
5326	기막히다	형	氣-	3
2853	기법01	명	技法	3
842	기본	명	基本	2
1779	기본적	명	基本的	3
525	기분01	명	氣分	1
3308	기뻐하다	동		2
1625	기쁘다	형		2
1633	기쁨	명		2
4775	기사02	명	技士	2
1342	기사10	명	記事	2
5588	기성08	명	旣成	3
5870	기성세대	명	旣成世代	3
4776	기숙사	명	寄宿舍	1
328	기술01	명	技術	2
4046	기술자	명	技術者	3
5871	기술하다01	동	記述-	3
847	기억02	명	記憶	2
7464	기억나다	동	記憶-	2
9945	기억되다	동	記憶-	3
1905	기억하다02	동	記憶-	2
292	기업01	명	企業	3
9066	기업인	명	企業人	3
5184	기여04	명	寄與	3
2992	기여하다	동	寄與-	3
2379	기온	명	氣溫	2
2822	기운01	명		2
5732	기울다	동		3
1282	기울이다	동		3
4587	기원05	명	起源	3
3067	기원전	명	紀元前	3
637	기자05	명	記者	2
5733	기적03	명	奇跡	3
779	기준03	명	基準	2
2919	기차01	명	汽車	1
1235	기초06	명	基礎	2
8690	기초적	명	基礎的	3
3223	기초하다03	동	基礎-	3
7466	기침01	명		2
3068	기타01	명	其他	3
6372	기타02	명	guit1r	2
5185	기호01	명	記號	3
12347	기혼02	명	旣婚	3
770	기회03	명	機會	2
2823	기획01	명	企劃	3
2404	기후05	명	氣候	3
3069	긴급	명	緊急	3
2464	긴장	명	緊張	2
6969	긴장감	명	緊張感	3
9069	긴장되다	동	緊張-	3
3856	긴장하다	동	緊張-	2
173	길01	명	도로	1
4588	길가	명		2
6760	길거리	명		2
386	길다02	형	밤이 ~	1
6374	길어지다	동		3
1283	길이01	명		2
6970	김01	명	~이 서리다	3
4405	김03	명	해초	2
6553	김04	의		3
7720	김밥	명		1
2207	김치01	명		1
16599	김치찌개	명		2
김포공항	고	金浦空港	2
461	깊다	형		2
4980	깊숙이	부		3
3224	깊이01	명		2
1634	깊이02	부		2
9949	까다01	동	마늘을 ~	3
954	까닭	명		2
26135	까만색	명	-色	2
3264	까맣다	형		2
9498	까먹다	동		3
5872	까치01	명		3
깍두기	명		3
2465	깎다	동		1
5463	깔끔하다	형		3
3180	깔다	동		3
2650	깔리다01	동		3
9500	깜빡	부		2
2762	깜짝02	부	놀라는 모양	2
9501	깡패	명	-牌	3
1939	깨끗이	부		2
1471	깨끗하다	형		1
9072	깨끗해지다	동		3
2277	깨다01	동	술이 ~	2
3394	깨다02	동	그릇을 ~	2
1139	깨닫다	동		3
4329	깨달음	명		3
5589	깨뜨리다	동		3
6375	깨소금	명		3
3681	깨어나다	동		3
8322	깨어지다	동		3
4495	깨우다01	동		3
2792	깨지다	동	깨어지다	2
791	꺼내다	동		2
3795	꺼지다01	동	불이 ~	2
3070	꺾다	동		3
4262	껌	명	gum	2
2309	껍질	명		2
1828	꼬리01	명		3
4407	꼬마	명		3
2993	꼭02	부	힘을 주는 모양	3
397	꼭03	부	반드시	1
3796	꼭대기	명		2
1176	꼴01	명	모양새	3
5464	꼼꼼하다	형		3
5590	꼼짝	부		3
3682	꼽히다01	동		3
3462	꽂다	동		3
470	꽃01	명		1
9951	꽃씨	명		3
6761	꽃잎	명		2
3395	꽉	부		3
1608	꽤01	부		2
3028	꾸다01	동	꿈을 ~	2
9503	꾸다02	동	돈을 ~	3
5186	꾸리다01	동		3
1635	꾸미다	동		2
9952	꾸준하다	형		3
2889	꾸준히	부		2
6031	꾸중	명		3
4982	꿀	명		2
535	꿈01	명		1
3071	꿈꾸다	동		2
5873	꿈속	명		2
2495	끄다01	동	불을 ~	1
2208	끄덕이다	동		2
4496	끈01	명		3
4497	끊기다	동		3
1614	끊다	동		2
3797	끊어지다	동		2
4498	끊임없다	형		3
1839	끊임없이	부		3
568	끌다	동		2
5736	끌리다	동		3
6032	끌어당기다	동		3
2854	끓다	동		2
1416	끓이다01	동		2
333	끝01	명		1
376	끝나다	동		1
2332	끝내	부		2
1452	끝내다	동		1
4186	끝없다	형		3
4408	끝없이	부		3
6033	끼01	명	끼니	3
4331	끼다02	동	구름이 ~	2
2072	끼다03	동	끼우다	2
4187	끼어들다	동		3
3396	끼우다01	동		3
8	나03	대		1
196	나가다	동		1
368	나가다	보		1
304	나누다	동		2
5327	나누어지다	동		3
4874	나뉘다	동		3
104	나다01	동		1
317	나다01	보		2
6559	나들이01	명		3
226	나라01	명		1
2353	나란히	부		3
4409	나르다01	동		3
1095	나름	의		3
1290	나머지	명		2
540	나무01	명		1
4047	나물01	명		2
3225	나뭇가지	명		2
4778	나뭇잎	명		2
5874	나비03	명		2
6379	나빠지다	동		2
873	나쁘다01	형		1
458	나서다	동		2
820	나아가다	동		3
4679	나아지다	동		3
50	나오다	동		1
429	나이01	명		1
1018	나중01	명		1
3265	나침반	명	羅針盤	3
160	나타나다	동		2
588	나타내다	동		2
11024	나흘	명		2
5328	낙엽	명	落葉	2
2278	낚시	명		2
9505	낚시꾼	명		3
9075	낚싯대	명		3
4589	난리02	명	亂離	3
9957	난방02	명	暖房	3
143	날01	명	어느 ~	1
2073	날개01	명		2
2230	날다01	동		1
3309	날리다02	동	'날다'의 사동사	3
1291	날씨01	명		1
2380	날아가다	동		2
7201	날아다니다	동		3
2855	날아오다	동		2
2994	날짜01	명		1
3857	날카롭다	형		3
1940	낡다01	형		2
360	남01	명		3
6380	남02	명	男	2
8324	남04	명	南	2
1056	남기다	동		2
1068	남녀	명	男女	1
290	남다01	동		2
남대문	고	南大門	1
남대문시장	고	南大門市場	1
9077	남동생	명	男-	1
4590	남매	명	男妹	2
남미	고	南美	3
2310	남부01	명	南部	3
5876	남북	명	南北	3
남산	고	南山	2
742	남성01	명	男性	2
154	남자02	명	男子	1
1598	남쪽	명	南-	1
255	남편01	명	男便	1
5594	남학생	명	男學生	1
5877	납득하다	동	納得-	3
3226	낫다01	동	병이 ~	2
1696	낫다02	형	더 좋다	2
5189	낭비	명	浪費	3
1184	낮	명		1
974	낮다	형		1
5465	낮아지다	동		3
3572	낮추다	동		3
2209	낯설다	형		2
4875	낱말02	명	단어	3
433	낳다01	동		2
463	내09	의	內	3
10449	내과01	명	內科	3
2405	내내01	부		2
1941	내년	명	來年	1
1069	내놓다	동		2
182	내다02	보	참아 ~	1
167	내다02	동	길을 ~	1
